issue_id,case_id,candidate_id,issue_type,severity,message,publication_number,raw_row_number
case_01_pan_graphitization:dup:case_01_pan_graphitization:lc:905a917631,case_01_pan_graphitization,case_01_pan_graphitization:lc:905a917631,duplicate,info,duplicate_of=case_01_pan_graphitization:lc:c0e34b905d,CN117210975B,316
case_01_pan_graphitization:dup:case_01_pan_graphitization:lc:8872f3c974,case_01_pan_graphitization,case_01_pan_graphitization:lc:8872f3c974,duplicate,info,duplicate_of=case_01_pan_graphitization:lc:dd432b8f28,CN117418334A,317
case_01_pan_graphitization:dup:case_01_pan_graphitization:lc:0516055bbe,case_01_pan_graphitization,case_01_pan_graphitization:lc:0516055bbe,duplicate,info,duplicate_of=case_01_pan_graphitization:lc:df01eb7bda,CN117535826A,318
case_01_pan_graphitization:dup:case_01_pan_graphitization:lc:63fb57941f,case_01_pan_graphitization,case_01_pan_graphitization:lc:63fb57941f,duplicate,info,duplicate_of=case_01_pan_graphitization:lc:ea8b1a4bbe,US2024229304A9,324
case_01_pan_graphitization:dup:case_01_pan_graphitization:lc:c4694b889d,case_01_pan_graphitization,case_01_pan_graphitization:lc:c4694b889d,duplicate,info,duplicate_of=case_01_pan_graphitization:lc:325128e47b,CN116024680A,326
case_01_pan_graphitization:dup:case_01_pan_graphitization:lc:6b0c8f717b,case_01_pan_graphitization,case_01_pan_graphitization:lc:6b0c8f717b,duplicate,info,duplicate_of=case_01_pan_graphitization:lc:c0e34b905d,CN117210975A,327
case_01_pan_graphitization:dup:case_01_pan_graphitization:lc:d15c2f7fb5,case_01_pan_graphitization,case_01_pan_graphitization:lc:d15c2f7fb5,duplicate,info,duplicate_of=case_01_pan_graphitization:lc:df01eb7bda,CN115467051A,330
case_01_pan_graphitization:dup:case_01_pan_graphitization:lc:7845a86c2c,case_01_pan_graphitization,case_01_pan_graphitization:lc:7845a86c2c,duplicate,info,duplicate_of=case_01_pan_graphitization:lc:e8ad7d8285,CN112410934A,334
case_01_pan_graphitization:dup:case_01_pan_graphitization:lc:3ffbcefafa,case_01_pan_graphitization,case_01_pan_graphitization:lc:3ffbcefafa,duplicate,info,duplicate_of=case_01_pan_graphitization:lc:8fd899026b,WO2020178149A1,341
case_01_pan_graphitization:dup:case_01_pan_graphitization:lc:74f3fa7fc6,case_01_pan_graphitization,case_01_pan_graphitization:lc:74f3fa7fc6,duplicate,info,duplicate_of=case_01_pan_graphitization:lc:ae33f34273,CN109306552A,345
case_01_pan_graphitization:dup:case_01_pan_graphitization:lc:7a06b73d51,case_01_pan_graphitization,case_01_pan_graphitization:lc:7a06b73d51,duplicate,info,duplicate_of=case_01_pan_graphitization:lc:fb40cd89ec,CN110067044A,347
case_01_pan_graphitization:dup:case_01_pan_graphitization:lc:7fe5d689ee,case_01_pan_graphitization,case_01_pan_graphitization:lc:7fe5d689ee,duplicate,info,duplicate_of=case_01_pan_graphitization:lc:de373b586c,CN110305247A,348
case_01_pan_graphitization:dup:case_01_pan_graphitization:lc:b43b7e0de0,case_01_pan_graphitization,case_01_pan_graphitization:lc:b43b7e0de0,duplicate,info,duplicate_of=case_01_pan_graphitization:lc:1d5ba27a3a,CN108486689A,350
case_01_pan_graphitization:dup:case_01_pan_graphitization:lc:c03dd127b3,case_01_pan_graphitization,case_01_pan_graphitization:lc:c03dd127b3,duplicate,info,duplicate_of=case_01_pan_graphitization:lc:e518fe6820,CN108532028A,351
case_01_pan_graphitization:dup:case_01_pan_graphitization:lc:8382ef9be4,case_01_pan_graphitization,case_01_pan_graphitization:lc:8382ef9be4,duplicate,info,duplicate_of=case_01_pan_graphitization:lc:6dbdc46528,CN108611793A,352
case_01_pan_graphitization:dup:case_01_pan_graphitization:lc:80b5f757c5,case_01_pan_graphitization,case_01_pan_graphitization:lc:80b5f757c5,duplicate,info,duplicate_of=case_01_pan_graphitization:lc:4606263887,CN104805534B,354
case_01_pan_graphitization:dup:case_01_pan_graphitization:lc:9f475c5497,case_01_pan_graphitization,case_01_pan_graphitization:lc:9f475c5497,duplicate,info,duplicate_of=case_01_pan_graphitization:lc:12281c87ab,CN106835365A,357
case_01_pan_graphitization:dup:case_01_pan_graphitization:lc:2d56374025,case_01_pan_graphitization,case_01_pan_graphitization:lc:2d56374025,duplicate,info,duplicate_of=case_01_pan_graphitization:lc:785e59f289,CN105887245A,364
case_01_pan_graphitization:dup:case_01_pan_graphitization:lc:ac921ed39d,case_01_pan_graphitization,case_01_pan_graphitization:lc:ac921ed39d,duplicate,info,duplicate_of=case_01_pan_graphitization:lc:43d6cdaf55,CN104961858A,370
case_01_pan_graphitization:dup:case_01_pan_graphitization:lc:14073adee8,case_01_pan_graphitization,case_01_pan_graphitization:lc:14073adee8,duplicate,info,duplicate_of=case_01_pan_graphitization:lc:5d65c29599,JP2014141761A,374
case_01_pan_graphitization:dup:case_01_pan_graphitization:lc:4b5473d2c0,case_01_pan_graphitization,case_01_pan_graphitization:lc:4b5473d2c0,duplicate,info,duplicate_of=case_01_pan_graphitization:lc:5d65c29599,JP2014141762A,375
case_01_pan_graphitization:dup:case_01_pan_graphitization:lc:fcede2fd7c,case_01_pan_graphitization,case_01_pan_graphitization:lc:fcede2fd7c,duplicate,info,duplicate_of=case_01_pan_graphitization:lc:9e5ca0a60a,CN103451777A,378
case_01_pan_graphitization:dup:case_01_pan_graphitization:lc:e4a71f2746,case_01_pan_graphitization,case_01_pan_graphitization:lc:e4a71f2746,duplicate,info,duplicate_of=case_01_pan_graphitization:lc:6d7ca57cb7,CN102277629A,382
case_01_pan_graphitization:dup:case_01_pan_graphitization:lc:9851b23561,case_01_pan_graphitization,case_01_pan_graphitization:lc:9851b23561,duplicate,info,duplicate_of=case_01_pan_graphitization:lc:820e16f726,US2010143713A1,383
case_01_pan_graphitization:dup:case_01_pan_graphitization:lc:ee78631a46,case_01_pan_graphitization,case_01_pan_graphitization:lc:ee78631a46,duplicate,info,duplicate_of=case_01_pan_graphitization:lc:d019d96ff2,CN101205642A,385
case_01_pan_graphitization:dup:case_01_pan_graphitization:lc:07a88b3269,case_01_pan_graphitization,case_01_pan_graphitization:lc:07a88b3269,duplicate,info,duplicate_of=case_01_pan_graphitization:lc:78d9ee17a0,US6051313A,387
case_01_pan_graphitization:dup:case_01_pan_graphitization:lc:885ba8a2aa,case_01_pan_graphitization,case_01_pan_graphitization:lc:885ba8a2aa,duplicate,info,duplicate_of=case_01_pan_graphitization:lc:ea8b1a4bbe,CN117280087B,388
case_01_pan_graphitization:dup:case_01_pan_graphitization:lc:54c02eee80,case_01_pan_graphitization,case_01_pan_graphitization:lc:54c02eee80,duplicate,info,duplicate_of=case_01_pan_graphitization:lc:a43fca0b95,CN121675220A,391
case_01_pan_graphitization:dup:case_01_pan_graphitization:lc:eda47e5571,case_01_pan_graphitization,case_01_pan_graphitization:lc:eda47e5571,duplicate,info,duplicate_of=case_01_pan_graphitization:lc:5d2f38203c,WO2026041107A1,394
case_01_pan_graphitization:dup:case_01_pan_graphitization:lc:63f78ae3d4,case_01_pan_graphitization,case_01_pan_graphitization:lc:63f78ae3d4,duplicate,info,duplicate_of=case_01_pan_graphitization:lc:da0dbfc6ee,CN119753892A,397
case_01_pan_graphitization:dup:case_01_pan_graphitization:lc:8ce328710e,case_01_pan_graphitization,case_01_pan_graphitization:lc:8ce328710e,duplicate,info,duplicate_of=case_01_pan_graphitization:lc:e20cd613d2,CN120221680B,399
case_01_pan_graphitization:dup:case_01_pan_graphitization:lc:7840c96772,case_01_pan_graphitization,case_01_pan_graphitization:lc:7840c96772,duplicate,info,duplicate_of=case_01_pan_graphitization:lc:ea8b1a4bbe,EP4379100A1,412
case_01_pan_graphitization:dup:case_01_pan_graphitization:lc:615449dd53,case_01_pan_graphitization,case_01_pan_graphitization:lc:615449dd53,duplicate,info,duplicate_of=case_01_pan_graphitization:lc:9da458c29c,KR20240037007A,413
case_01_pan_graphitization:dup:case_01_pan_graphitization:lc:d36fa08e42,case_01_pan_graphitization,case_01_pan_graphitization:lc:d36fa08e42,duplicate,info,duplicate_of=case_01_pan_graphitization:lc:d2b2f966b6,US11873584B2,414
case_01_pan_graphitization:dup:case_01_pan_graphitization:lc:117801f936,case_01_pan_graphitization,case_01_pan_graphitization:lc:117801f936,duplicate,info,duplicate_of=case_01_pan_graphitization:lc:d2b2f966b6,US12180619B2,415
case_01_pan_graphitization:dup:case_01_pan_graphitization:lc:549045c57d,case_01_pan_graphitization,case_01_pan_graphitization:lc:549045c57d,duplicate,info,duplicate_of=case_01_pan_graphitization:lc:d2b2f966b6,US2024125009A1,416
case_01_pan_graphitization:dup:case_01_pan_graphitization:lc:0e41de4753,case_01_pan_graphitization,case_01_pan_graphitization:lc:0e41de4753,duplicate,info,duplicate_of=case_01_pan_graphitization:lc:e9d9461127,CN115595691A,418
case_01_pan_graphitization:dup:case_01_pan_graphitization:lc:f43e82d02e,case_01_pan_graphitization,case_01_pan_graphitization:lc:f43e82d02e,duplicate,info,duplicate_of=case_01_pan_graphitization:lc:7d376fe7e4,CN116103788A,420
case_01_pan_graphitization:dup:case_01_pan_graphitization:lc:0c394de65d,case_01_pan_graphitization,case_01_pan_graphitization:lc:0c394de65d,duplicate,info,duplicate_of=case_01_pan_graphitization:lc:e7ce3cc996,CN116446075A,421
case_01_pan_graphitization:dup:case_01_pan_graphitization:lc:05be9346c5,case_01_pan_graphitization,case_01_pan_graphitization:lc:05be9346c5,duplicate,info,duplicate_of=case_01_pan_graphitization:lc:ec4c7ba174,CN116657285B,423
case_01_pan_graphitization:dup:case_01_pan_graphitization:lc:82bc9bc788,case_01_pan_graphitization,case_01_pan_graphitization:lc:82bc9bc788,duplicate,info,duplicate_of=case_01_pan_graphitization:lc:ea8b1a4bbe,CN117280087A,424
case_01_pan_graphitization:dup:case_01_pan_graphitization:lc:a0415e68e9,case_01_pan_graphitization,case_01_pan_graphitization:lc:a0415e68e9,duplicate,info,duplicate_of=case_01_pan_graphitization:lc:ea8b1a4bbe,WO2023008273A1,425
case_01_pan_graphitization:dup:case_01_pan_graphitization:lc:8a4d77461d,case_01_pan_graphitization,case_01_pan_graphitization:lc:8a4d77461d,duplicate,info,duplicate_of=case_01_pan_graphitization:lc:ded02aaa28,CN114318593A,430
case_01_pan_graphitization:dup:case_01_pan_graphitization:lc:1c68fa6d89,case_01_pan_graphitization,case_01_pan_graphitization:lc:1c68fa6d89,duplicate,info,duplicate_of=case_01_pan_graphitization:lc:76691cb4c8,CN113249826A,434
case_01_pan_graphitization:dup:case_01_pan_graphitization:lc:2bdf35ec3b,case_01_pan_graphitization,case_01_pan_graphitization:lc:2bdf35ec3b,duplicate,info,duplicate_of=case_01_pan_graphitization:lc:47c8f80e07,CN113322713A,435
case_01_pan_graphitization:dup:case_01_pan_graphitization:lc:76155fded0,case_01_pan_graphitization,case_01_pan_graphitization:lc:76155fded0,duplicate,info,duplicate_of=case_01_pan_graphitization:lc:0d9b82e26a,CN110832127A,438
case_01_pan_graphitization:dup:case_01_pan_graphitization:lc:ab57e5906b,case_01_pan_graphitization,case_01_pan_graphitization:lc:ab57e5906b,duplicate,info,duplicate_of=case_01_pan_graphitization:lc:5fa78f5060,CN111648128A,440
case_01_pan_graphitization:dup:case_01_pan_graphitization:lc:01f1922be0,case_01_pan_graphitization,case_01_pan_graphitization:lc:01f1922be0,duplicate,info,duplicate_of=case_01_pan_graphitization:lc:0d9b82e26a,EP3653768A1,442
case_01_pan_graphitization:dup:case_01_pan_graphitization:lc:aa8e27b4a4,case_01_pan_graphitization,case_01_pan_graphitization:lc:aa8e27b4a4,duplicate,info,duplicate_of=case_01_pan_graphitization:lc:57a49818b7,US2020071856A1,444
case_01_pan_graphitization:dup:case_01_pan_graphitization:lc:3ed7ba138f,case_01_pan_graphitization,case_01_pan_graphitization:lc:3ed7ba138f,duplicate,info,duplicate_of=case_01_pan_graphitization:lc:d2b2f966b6,US2020248339A1,445
case_01_pan_graphitization:dup:case_01_pan_graphitization:lc:37cfadf00c,case_01_pan_graphitization,case_01_pan_graphitization:lc:37cfadf00c,duplicate,info,duplicate_of=case_01_pan_graphitization:lc:145887152f,CN109402791A,448
case_01_pan_graphitization:dup:case_01_pan_graphitization:lc:c7a58c495f,case_01_pan_graphitization,case_01_pan_graphitization:lc:c7a58c495f,duplicate,info,duplicate_of=case_01_pan_graphitization:lc:c63fcb5d36,CN109023594A,451
case_01_pan_graphitization:dup:case_01_pan_graphitization:lc:812a48cfe4,case_01_pan_graphitization,case_01_pan_graphitization:lc:812a48cfe4,duplicate,info,duplicate_of=case_01_pan_graphitization:lc:8dda0258a6,US9657413B2,456
case_01_pan_graphitization:dup:case_01_pan_graphitization:lc:2469fd2bd9,case_01_pan_graphitization,case_01_pan_graphitization:lc:2469fd2bd9,duplicate,info,duplicate_of=case_01_pan_graphitization:lc:8dda0258a6,US2016160396A1,458
case_01_pan_graphitization:dup:case_01_pan_graphitization:lc:272c859954,case_01_pan_graphitization,case_01_pan_graphitization:lc:272c859954,duplicate,info,duplicate_of=case_01_pan_graphitization:lc:bcccf1f98e,US2016369426A1,459
case_01_pan_graphitization:dup:case_01_pan_graphitization:lc:e4a73e4cdd,case_01_pan_graphitization,case_01_pan_graphitization:lc:e4a73e4cdd,duplicate,info,duplicate_of=case_01_pan_graphitization:lc:108f94dfc5,CN103668561A,462
case_01_pan_graphitization:dup:case_01_pan_graphitization:lc:19e620ff75,case_01_pan_graphitization,case_01_pan_graphitization:lc:19e620ff75,duplicate,info,duplicate_of=case_01_pan_graphitization:lc:7fae7d1afc,CN103103631A,466
case_01_pan_graphitization:dup:case_01_pan_graphitization:lc:3592522ebf,case_01_pan_graphitization,case_01_pan_graphitization:lc:3592522ebf,duplicate,info,duplicate_of=case_01_pan_graphitization:lc:820e16f726,CN101316956B,469
case_01_pan_graphitization:dup:case_01_pan_graphitization:lc:3d7f9bccac,case_01_pan_graphitization,case_01_pan_graphitization:lc:3d7f9bccac,duplicate,info,duplicate_of=case_01_pan_graphitization:lc:4d61439b90,CN102766989A,471
case_01_pan_graphitization:dup:case_01_pan_graphitization:lc:4287cb373d,case_01_pan_graphitization,case_01_pan_graphitization:lc:4287cb373d,duplicate,info,duplicate_of=case_01_pan_graphitization:lc:b67d9aa6c4,US2012288434A1,472
case_01_pan_graphitization:dup:case_01_pan_graphitization:lc:e33aa4fd54,case_01_pan_graphitization,case_01_pan_graphitization:lc:e33aa4fd54,duplicate,info,duplicate_of=case_01_pan_graphitization:lc:733869f81a,CN102146595A,473
case_01_pan_graphitization:dup:case_01_pan_graphitization:lc:5da0544561,case_01_pan_graphitization,case_01_pan_graphitization:lc:5da0544561,duplicate,info,duplicate_of=case_01_pan_graphitization:lc:264041c544,JP2010168723A,476
case_01_pan_graphitization:dup:case_01_pan_graphitization:lc:7bda50826c,case_01_pan_graphitization,case_01_pan_graphitization:lc:7bda50826c,duplicate,info,duplicate_of=case_01_pan_graphitization:lc:56aac5efec,JP2010168724A,477
case_01_pan_graphitization:dup:case_01_pan_graphitization:lc:5bb343b7bc,case_01_pan_graphitization,case_01_pan_graphitization:lc:5bb343b7bc,duplicate,info,duplicate_of=case_01_pan_graphitization:lc:820e16f726,CN101316956A,480
case_01_pan_graphitization:dup:case_01_pan_graphitization:lc:4e5b4a61e6,case_01_pan_graphitization,case_01_pan_graphitization:lc:4e5b4a61e6,duplicate,info,duplicate_of=case_01_pan_graphitization:lc:820e16f726,EP1961847A1,483
case_01_pan_graphitization:dup:case_01_pan_graphitization:lc:df2d11afcf,case_01_pan_graphitization,case_01_pan_graphitization:lc:df2d11afcf,duplicate,info,duplicate_of=case_01_pan_graphitization:lc:820e16f726,KR20080076937A,486
case_01_pan_graphitization:dup:case_01_pan_graphitization:lc:8d2dd5f417,case_01_pan_graphitization,case_01_pan_graphitization:lc:8d2dd5f417,duplicate,info,duplicate_of=case_01_pan_graphitization:lc:820e16f726,WO2007069511A1,489
case_01_pan_graphitization:dup:case_01_pan_graphitization:lc:d569b9bc18,case_01_pan_graphitization,case_01_pan_graphitization:lc:d569b9bc18,duplicate,info,duplicate_of=case_01_pan_graphitization:lc:c4f6dfb6e4,JP2005256211A,491
case_01_pan_graphitization:dup:case_01_pan_graphitization:lc:1a14647684,case_01_pan_graphitization,case_01_pan_graphitization:lc:1a14647684,duplicate,info,duplicate_of=case_01_pan_graphitization:lc:78d9ee17a0,CN1069357C,493
case_01_pan_graphitization:dup:case_01_pan_graphitization:lc:7b4c4607f1,case_01_pan_graphitization,case_01_pan_graphitization:lc:7b4c4607f1,duplicate,info,duplicate_of=case_01_pan_graphitization:lc:89d9fbf6aa,US2001033035A1,494
case_01_pan_graphitization:dup:case_01_pan_graphitization:lc:fbb4449f59,case_01_pan_graphitization,case_01_pan_graphitization:lc:fbb4449f59,duplicate,info,duplicate_of=case_01_pan_graphitization:lc:9b12a52864,US6027337A,495
case_01_pan_graphitization:dup:case_01_pan_graphitization:lc:af82c55201,case_01_pan_graphitization,case_01_pan_graphitization:lc:af82c55201,duplicate,info,duplicate_of=case_01_pan_graphitization:lc:dd432b8f28,CN117403350B,497
case_01_pan_graphitization:dup:case_01_pan_graphitization:lc:fcf3c4b736,case_01_pan_graphitization,case_01_pan_graphitization:lc:fcf3c4b736,duplicate,info,duplicate_of=case_01_pan_graphitization:lc:c5da210f11,CN121321284B,501
case_01_pan_graphitization:dup:case_01_pan_graphitization:lc:090f1a42fa,case_01_pan_graphitization,case_01_pan_graphitization:lc:090f1a42fa,duplicate,info,duplicate_of=case_01_pan_graphitization:lc:313794414c,CN119308042B,517
case_01_pan_graphitization:dup:case_01_pan_graphitization:lc:eaaff0bd11,case_01_pan_graphitization,case_01_pan_graphitization:lc:eaaff0bd11,duplicate,info,duplicate_of=case_01_pan_graphitization:lc:325128e47b,CN119411259A,519
case_01_pan_graphitization:dup:case_01_pan_graphitization:lc:5bcb5513fd,case_01_pan_graphitization,case_01_pan_graphitization:lc:5bcb5513fd,duplicate,info,duplicate_of=case_01_pan_graphitization:lc:325128e47b,CN119411259B,520
case_01_pan_graphitization:dup:case_01_pan_graphitization:lc:42ed323371,case_01_pan_graphitization,case_01_pan_graphitization:lc:42ed323371,duplicate,info,duplicate_of=case_01_pan_graphitization:lc:2f2a3a1092,CN119615423B,526
case_01_pan_graphitization:dup:case_01_pan_graphitization:lc:680ae9ea67,case_01_pan_graphitization,case_01_pan_graphitization:lc:680ae9ea67,duplicate,info,duplicate_of=case_01_pan_graphitization:lc:23e369df4f,CN119932768A,530
case_01_pan_graphitization:dup:case_01_pan_graphitization:lc:431f222ecd,case_01_pan_graphitization,case_01_pan_graphitization:lc:431f222ecd,duplicate,info,duplicate_of=case_01_pan_graphitization:lc:23e369df4f,CN119932768B,531
case_01_pan_graphitization:dup:case_01_pan_graphitization:lc:df735de42c,case_01_pan_graphitization,case_01_pan_graphitization:lc:df735de42c,duplicate,info,duplicate_of=case_01_pan_graphitization:lc:505c246be1,CN120273070A,537
case_01_pan_graphitization:dup:case_01_pan_graphitization:lc:6706181988,case_01_pan_graphitization,case_01_pan_graphitization:lc:6706181988,duplicate,info,duplicate_of=case_01_pan_graphitization:lc:f9e7fe3bc7,CN117364299A,552
case_01_pan_graphitization:dup:case_01_pan_graphitization:lc:576b8258c0,case_01_pan_graphitization,case_01_pan_graphitization:lc:576b8258c0,duplicate,info,duplicate_of=case_01_pan_graphitization:lc:dd432b8f28,CN117403349A,553
case_01_pan_graphitization:dup:case_01_pan_graphitization:lc:6190eb69cc,case_01_pan_graphitization,case_01_pan_graphitization:lc:6190eb69cc,duplicate,info,duplicate_of=case_01_pan_graphitization:lc:dd432b8f28,CN117403350A,554
case_01_pan_graphitization:dup:case_01_pan_graphitization:lc:f87badeed9,case_01_pan_graphitization,case_01_pan_graphitization:lc:f87badeed9,duplicate,info,duplicate_of=case_01_pan_graphitization:lc:5dc8762b81,CN117535810A,557
case_01_pan_graphitization:dup:case_01_pan_graphitization:lc:a4cc856395,case_01_pan_graphitization,case_01_pan_graphitization:lc:a4cc856395,duplicate,info,duplicate_of=case_01_pan_graphitization:lc:4c08f03828,CN117552188B,559
case_01_pan_graphitization:dup:case_01_pan_graphitization:lc:4c4a2c4926,case_01_pan_graphitization,case_01_pan_graphitization:lc:4c4a2c4926,duplicate,info,duplicate_of=case_01_pan_graphitization:lc:035cab44d8,CN117987964A,563
case_01_pan_graphitization:dup:case_01_pan_graphitization:lc:3154e02c8f,case_01_pan_graphitization,case_01_pan_graphitization:lc:3154e02c8f,duplicate,info,duplicate_of=case_01_pan_graphitization:lc:d8b7b9a6e1,CN118326570B,566
case_01_pan_graphitization:dup:case_01_pan_graphitization:lc:f5ceb701e6,case_01_pan_graphitization,case_01_pan_graphitization:lc:f5ceb701e6,duplicate,info,duplicate_of=case_01_pan_graphitization:lc:2c6c55a3fa,CN118773947B,571
case_01_pan_graphitization:dup:case_01_pan_graphitization:lc:9850d62d86,case_01_pan_graphitization,case_01_pan_graphitization:lc:9850d62d86,duplicate,info,duplicate_of=case_01_pan_graphitization:lc:df7f8f099d,CN118880496A,574
case_01_pan_graphitization:dup:case_01_pan_graphitization:lc:ab9cce942e,case_01_pan_graphitization,case_01_pan_graphitization:lc:ab9cce942e,duplicate,info,duplicate_of=case_01_pan_graphitization:lc:2bb4559399,CN118910769A,575
case_01_pan_graphitization:dup:case_01_pan_graphitization:lc:ceab51497a,case_01_pan_graphitization,case_01_pan_graphitization:lc:ceab51497a,duplicate,info,duplicate_of=case_01_pan_graphitization:lc:9188de438d,WO2024001261A1,582
case_01_pan_graphitization:dup:case_01_pan_graphitization:lc:ce5d2a45c7,case_01_pan_graphitization,case_01_pan_graphitization:lc:ce5d2a45c7,duplicate,info,duplicate_of=case_01_pan_graphitization:lc:d2b2f966b6,CN111344445B,585
case_01_pan_graphitization:dup:case_01_pan_graphitization:lc:dc6fb47a75,case_01_pan_graphitization,case_01_pan_graphitization:lc:dc6fb47a75,duplicate,info,duplicate_of=case_01_pan_graphitization:lc:5d65c29599,CN111788341B,587
case_01_pan_graphitization:dup:case_01_pan_graphitization:lc:1d496b38a6,case_01_pan_graphitization,case_01_pan_graphitization:lc:1d496b38a6,duplicate,info,duplicate_of=case_01_pan_graphitization:lc:da0dbfc6ee,CN115613164A,594
case_01_pan_graphitization:dup:case_01_pan_graphitization:lc:bed7214aab,case_01_pan_graphitization,case_01_pan_graphitization:lc:bed7214aab,duplicate,info,duplicate_of=case_01_pan_graphitization:lc:fe77d50ca0,CN116024701A,595
case_01_pan_graphitization:dup:case_01_pan_graphitization:lc:ef1ab51bb8,case_01_pan_graphitization,case_01_pan_graphitization:lc:ef1ab51bb8,duplicate,info,duplicate_of=case_01_pan_graphitization:lc:043f8b1cba,CN116103790B,597
case_01_pan_graphitization:dup:case_01_pan_graphitization:lc:947397adce,case_01_pan_graphitization,case_01_pan_graphitization:lc:947397adce,duplicate,info,duplicate_of=case_01_pan_graphitization:lc:648d4c842f,CN116657286A,599
case_01_pan_graphitization:dup:case_01_pan_graphitization:lc:2ebe2662f2,case_01_pan_graphitization,case_01_pan_graphitization:lc:2ebe2662f2,duplicate,info,duplicate_of=case_01_pan_graphitization:lc:d2b2f966b6,CN116716684A,602
case_01_pan_graphitization:dup:case_01_pan_graphitization:lc:bc7f602bcd,case_01_pan_graphitization,case_01_pan_graphitization:lc:bc7f602bcd,duplicate,info,duplicate_of=case_01_pan_graphitization:lc:76c4e410fd,CN116770581B,604
case_01_pan_graphitization:dup:case_01_pan_graphitization:lc:20466aac81,case_01_pan_graphitization,case_01_pan_graphitization:lc:20466aac81,duplicate,info,duplicate_of=case_01_pan_graphitization:lc:91d7aba018,CN116876118A,605
case_01_pan_graphitization:dup:case_01_pan_graphitization:lc:9c44dd9c28,case_01_pan_graphitization,case_01_pan_graphitization:lc:9c44dd9c28,duplicate,info,duplicate_of=case_01_pan_graphitization:lc:c8547b3962,CN117303926A,609
case_01_pan_graphitization:dup:case_01_pan_graphitization:lc:d1ea0d0068,case_01_pan_graphitization,case_01_pan_graphitization:lc:d1ea0d0068,duplicate,info,duplicate_of=case_01_pan_graphitization:lc:5bd80968f5,CN117306024A,610
case_01_pan_graphitization:dup:case_01_pan_graphitization:lc:ae07cc632d,case_01_pan_graphitization,case_01_pan_graphitization:lc:ae07cc632d,duplicate,info,duplicate_of=case_01_pan_graphitization:lc:e548339a15,CN111088558B,617
case_01_pan_graphitization:dup:case_01_pan_graphitization:lc:574baeeb9e,case_01_pan_graphitization,case_01_pan_graphitization:lc:574baeeb9e,duplicate,info,duplicate_of=case_01_pan_graphitization:lc:4510c68530,CN113921832B,627
case_01_pan_graphitization:dup:case_01_pan_graphitization:lc:7a0bda1bbd,case_01_pan_graphitization,case_01_pan_graphitization:lc:7a0bda1bbd,duplicate,info,duplicate_of=case_01_pan_graphitization:lc:31470e1d6b,CN114050254A,629
case_01_pan_graphitization:dup:case_01_pan_graphitization:lc:41509036bc,case_01_pan_graphitization,case_01_pan_graphitization:lc:41509036bc,duplicate,info,duplicate_of=case_01_pan_graphitization:lc:d8ec31efd0,CN114457467A,631
case_01_pan_graphitization:dup:case_01_pan_graphitization:lc:9967f63f36,case_01_pan_graphitization,case_01_pan_graphitization:lc:9967f63f36,duplicate,info,duplicate_of=case_01_pan_graphitization:lc:17c82b0556,CN114457469A,632
case_01_pan_graphitization:dup:case_01_pan_graphitization:lc:8e4c9312b8,case_01_pan_graphitization,case_01_pan_graphitization:lc:8e4c9312b8,duplicate,info,duplicate_of=case_01_pan_graphitization:lc:aa7b7a27d8,CN114481366A,633
case_01_pan_graphitization:dup:case_01_pan_graphitization:lc:df39e8b55a,case_01_pan_graphitization,case_01_pan_graphitization:lc:df39e8b55a,duplicate,info,duplicate_of=case_01_pan_graphitization:lc:9b41b50136,CN114643752A,635
case_01_pan_graphitization:dup:case_01_pan_graphitization:lc:00e7647d6c,case_01_pan_graphitization,case_01_pan_graphitization:lc:00e7647d6c,duplicate,info,duplicate_of=case_01_pan_graphitization:lc:8bc0ea7271,CN114849119A,636
case_01_pan_graphitization:dup:case_01_pan_graphitization:lc:75c8eb5ffc,case_01_pan_graphitization,case_01_pan_graphitization:lc:75c8eb5ffc,duplicate,info,duplicate_of=case_01_pan_graphitization:lc:325128e47b,CN114855308A,637
case_01_pan_graphitization:dup:case_01_pan_graphitization:lc:26ec342827,case_01_pan_graphitization,case_01_pan_graphitization:lc:26ec342827,duplicate,info,duplicate_of=case_01_pan_graphitization:lc:17e52c4842,CN115142148A,639
case_01_pan_graphitization:dup:case_01_pan_graphitization:lc:88220ba205,case_01_pan_graphitization,case_01_pan_graphitization:lc:88220ba205,duplicate,info,duplicate_of=case_01_pan_graphitization:lc:f100eb5748,CN115303892A,640
case_01_pan_graphitization:dup:case_01_pan_graphitization:lc:456fe1ed55,case_01_pan_graphitization,case_01_pan_graphitization:lc:456fe1ed55,duplicate,info,duplicate_of=case_01_pan_graphitization:lc:a2c89908d1,CN115323825A,641
case_01_pan_graphitization:dup:case_01_pan_graphitization:lc:36f457aacd,case_01_pan_graphitization,case_01_pan_graphitization:lc:36f457aacd,duplicate,info,duplicate_of=case_01_pan_graphitization:lc:a508fab361,CN115369521A,642
case_01_pan_graphitization:dup:case_01_pan_graphitization:lc:1ce2cff42f,case_01_pan_graphitization,case_01_pan_graphitization:lc:1ce2cff42f,duplicate,info,duplicate_of=case_01_pan_graphitization:lc:8bc0ea7271,CN217828708U,647
case_01_pan_graphitization:dup:case_01_pan_graphitization:lc:e19cb340ac,case_01_pan_graphitization,case_01_pan_graphitization:lc:e19cb340ac,duplicate,info,duplicate_of=case_01_pan_graphitization:lc:054032f99c,CN112447957B,663
