publication_number,application_number,country_code,kind_code,family_id,publication_date,year,title,abstract,assignee,organization,inventors,cpc_codes,url,source_type,bigquery_relevance_score
CN-111377533-A,CN-202010316341-A,CN,A,71215825,20200707,2020,Sewage treatment microbial carrier and preparation method thereof,"The invention discloses a sewage treatment microorganism carrier, which consists of a magnetic carbon fiber bracket and a polypyrrole film layer, wherein microorganisms are fixed on the surface of the magnetic carbon fiber bracket; the magnetic carbon fiber support is woven by composite fiber bundles and is obtained by pre-oxidation and carbonization treatment; the composite fiber is polyacrylonitrile fiber doped with graphene, and magnetic iron oxide nanoparticles are uniformly distributed on the surface and inside the composite fiber. According to the invention, the iron oxide nanoparticles generated in situ have good photocatalytic activity, and can also promote local graphitization of carbon fibers and improve the conductivity of the carbon fibers in a synergistic manner with graphene; the magnetic carbon fiber support is used as a working electrode, the polypyrrole film is electrochemically deposited on the magnetic carbon fiber support, effective fixation of microorganisms is achieved, embedding is avoided, microorganism loading and proliferation are facilitated, iron oxide photocatalysts and microorganisms are in full contact with pollutants in sewage, photocatalytic degradation and microbial treatment are conducted synchronously, and sewage treatment efficiency is greatly improved.",无锡原旭机电科技有限公司,WUXI YUANXU ELECTROMECHANICAL TECH CO LTD,ZHANG LI,C02F3/105,https://patents.google.com/patent/CN111377533A/en,patent,22
CN-111377533-B,CN-202010316341-A,CN,B,71215825,20201201,2020,Sewage treatment microbial carrier and preparation method thereof,"The invention discloses a sewage treatment microorganism carrier, which consists of a magnetic carbon fiber bracket and a polypyrrole film layer, wherein microorganisms are fixed on the surface of the magnetic carbon fiber bracket; the magnetic carbon fiber support is woven by composite fiber bundles and is obtained by pre-oxidation and carbonization treatment; the composite fiber is polyacrylonitrile fiber doped with graphene, and magnetic iron oxide nanoparticles are uniformly distributed on the surface and inside the composite fiber. According to the invention, the iron oxide nanoparticles generated in situ have good photocatalytic activity, and can also promote local graphitization of carbon fibers and improve the conductivity of the carbon fibers in a synergistic manner with graphene; the magnetic carbon fiber support is used as a working electrode, the polypyrrole film is electrochemically deposited on the magnetic carbon fiber support, effective fixation of microorganisms is achieved, embedding is avoided, microorganism loading and proliferation are facilitated, iron oxide photocatalysts and microorganisms are in full contact with pollutants in sewage, photocatalytic degradation and microbial treatment are conducted synchronously, and sewage treatment efficiency is greatly improved.",山东高速环保科技有限公司,,,C02F3/105,https://patents.google.com/patent/CN111377533B/en,patent,22
CN-111560666-A,CN-202010554631-A,CN,A,72068790,20200821,2020,Pre-oxidation method of polyacrylonitrile-based carbon fiber precursor,"The invention discloses a pre-oxidation method of polyacrylonitrile-based carbon fiber precursor, which comprises the following steps: pretreating polyacrylonitrile-based carbon fiber precursor by adopting a pretreatment solvent, wherein the pretreatment solvent comprises water, an oil agent, a modifier and a preoxidation accelerator; pre-oxidizing the pretreated polyacrylonitrile-based carbon fiber precursor in an air atmosphere at a temperature range of 200-280 ℃, and heating in six temperature zones in a gradient manner, wherein each temperature zone is pre-oxidized for 8-10 min, and the pre-oxidation treatment time is 50-60 min; then carrying out low-temperature carbonization and high-temperature carbonization to obtain the carbon fiber. According to the invention, the effective controllability of reactions such as cyclization, oxidation and the like in the pre-oxidation process of the polyacrylonitrile precursor is realized through pre-oxidation pretreatment, temperature gradient heating of six temperature zones, traction ratio control and the like, the fully-homogenized pre-oxidized fiber is obtained, and the corresponding high-strength medium-model (T800 grade) carbon fiber is prepared.",江苏恒神股份有限公司,HENGSHEN CO LTD,GU HONGXING; XUE YAJUN; ZHANG SHUBIN; QIAN HONGCHUAN; ZHANG MING,D06M15/53; D06M13/10; D01F9/22; D06M11/82; D06M15/647; D06M15/6436; D06M15/65,https://patents.google.com/patent/CN111560666A/en,patent,22
CN-111575037-A,CN-202010439569-A,CN,A,72126755,20200825,2020,Preparation method of high-modulus carbon fiber and precursor mesophase pitch thereof,"The invention provides a method for preparing high-modulus carbon fiber and precursor mesophase pitch thereof, which takes heavy oil as a raw material and adopts size exclusion chromatography to separate out components with molecular weight distribution of 400-1000; then, respectively removing acidic components and alkaline components in the raw oil by ion exchange chromatography and then sequentially passing through a large-aperture cation exchange resin and an anion exchange resin to obtain modified raw oil; the modified raw oil is subjected to thermal polycondensation and carbonization to obtain high-quality mesophase pitch with good spinnability, and the high-quality mesophase pitch has high mesophase content, low softening point, low viscosity, good meltability and good spinnability and is a high-quality raw material for preparing high-modulus carbon fibers. And carrying out melt spinning, pre-oxidation, carbonization and graphitization treatment to obtain the high-modulus mesophase pitch-based carbon fiber.",中国石油大学(华东),UNIV CHINA PETROLEUM EAST CHINA,LIU DONG; GONG XIN; LI ZHIHAO; LI JUN; YU QINGSHENG; YANG CHAOHE; FU YU'E,D01F9/155; C10G25/02; C10C3/002; C10B57/045; C10B55/00; B01J20/28054; B01J20/28047; B01J20/261; B01D15/363; B01D15/362,https://patents.google.com/patent/CN111575037A/en,patent,22
CN-111662407-A,CN-202010764262-A,CN,A,72392885,20200915,2020,Efficient polymerization preparation method of polyacrylonitrile polymer for carbon fiber,"The invention discloses a high-efficiency polymerization preparation method of polyacrylonitrile polymer for carbon fibers, wherein a polymerization reaction composition comprises a binary copolymerization system or a multi-copolymerization system containing acrylonitrile, the polymerization reaction conditions are that the reaction temperature is 78-150 ℃, the reaction pressure is 1.5-50 atmospheric pressures, the reaction time is 10-120 min, residual monomers and bubbles are removed to obtain polyacrylonitrile spinning solution, the obtained polymer is spun, and the obtained carbon fiber precursor is subjected to preoxidation carbonization to obtain polyacrylonitrile-based carbon fibers. The temperature of the polymerization reaction is increased in the acrylonitrile solvent polymerization reaction, and the time of the polymerization reaction is greatly shortened on the premise of ensuring the high performance of the polymer by the acrylonitrile polymerization reaction, so that the speed of the polymerization reaction is greatly increased, and the production efficiency is greatly improved.",敖琪; 庄晗,AO QI; ZHUANG HAN,AO QI; ZHUANG HAN,C08F2/06; C08F220/46; D01F9/22; C08F2/00,https://patents.google.com/patent/CN111662407A/en,patent,22
CN-106592019-B,CN-201510675979-A,CN,B,58554125,20190412,2019,The preparation method of polyacrylonitrile-radical high-performance carbon fibre,"The present invention relates to a kind of preparation methods of polyacrylonitrile-radical high-performance carbon fibre, mainly solve the problems, such as that polyacrylonitrile thermostabilization technique existing in the prior art influences carbon fiber performance, by using polyacrylonitrile fibril to be carried out to heat treatment in the normal pressure thermostabilization furnace of at least three oxygen-containing gas atmosphere not less than 40min within the scope of 190~270 DEG C, total draft is not higher than 6%；The normal pressure thermostabilization furnace that fiber after above-mentioned heat treatment is passed through at least one inert gas atmosphere carries out heat treatment not less than 5min under the conditions of 240~270 DEG C, and drawing-off is -2~0%；Again under inert gas conditions, 4~8min of carbonization treatment is carried out within the scope of 350~1400 DEG C, the technical solution that total draft is -2~2% preferably solves the problems, such as this, can be used in the industrial production of Heat-Stabilization of Acrylonitrile Precursor and carbonisation.",中国石油化工股份有限公司; 中国石油化工股份有限公司上海石油化工研究院,,,,https://patents.google.com/patent/CN106592019B/en,patent,22
CN-107059242-B,CN-201710280213-A,CN,B,59603538,20190517,2019,A kind of production method of high thermal conductivity pitch based carbon fiber composite preform,"The invention discloses a kind of production methods of high thermal conductivity pitch based carbon fiber composite preform, using the viscose glue base or polyacrylonitrile-radical or isotropic pitch base or high thermal conductivity asphaltic base short carbon fiber net tire alternative stacked of the high thermal conductivity pitch based carbon fiber pantostrat and treatment of different temperature state of pre-oxidation or low-temperature carbonization state, Z-direction reinforcing fiber is introduced through needling process in pantostrat and the axial of net plies, Z-direction thermal conducting path has been got through in the introducing of Z-direction fiber, heat is also easier in the dredging and conduction of Z-direction, needling density is controlled in 10~50 needles/cm 2 , it is 0.25~0.75g/cm that bulk density, which is made, 3 Quasi- three-dimensional structure precast body blank, and by the precast body blank carry out charing and graphitization processing.The plastic major diameter high thermal conductivity pitch based carbon fiber abnormal shape green body of the present invention, compact dimensions and shape are unrestricted, easily prepared high thermal conductivity pitch based carbon fiber composite material, are suitble to bulk industrial production.",湖南大学,,,D06C7/04; C04B35/83; D04H1/4242; C04B35/80; D04H1/46; D04H1/74,https://patents.google.com/patent/CN107059242B/en,patent,22
CN-107419365-B,CN-201710456507-A,CN,B,60428785,20190830,2019,Graphene composite fiber absorbent and preparation method thereof,"The invention belongs to the technical field of functional materials. Carbon fiber precursor polyacrylonitrile is used as a carrier, a thermal treatment process is adopted to generate chemical bonding with graphene and magnetic material functional components, and anisotropy is endowed by utilizing a spinning technology. The graphene composite fiber absorbent provided by the invention takes polyacrylonitrile-based carbon fibers as a carrier, the fiber diameter is between 5 and 30 mu m, and the density is not more than 3.5g/cm 3 The mass composition of the effective components of the material is as follows: 0.5-15 parts of graphene, 1-25 parts of magnetic material and 100 parts of polyacrylonitrile solid, and pre-oxidizing for 60-120 min at 150-270 ℃ in air or nitrogen atmosphere through spinning, pre-oxidation treatment and carbonization-reduction processes; and carrying out carbonization and reduction for 5-30 min at 600-900 ℃ in an inert atmosphere. The graphene composite fiber absorbent has the advantages of excellent radar wave absorption characteristic, wide absorption frequency band, high wave absorption performance and strong designability. The method is suitable for the fields of wave-absorbing materials, antistatic materials and electromagnetic shielding, and is particularly suitable for the technical field of design and processing of radar stealth wave-absorbing materials.",山东非金属材料研究所,,,D01F1/10; C09K3/00; D01F9/22; H05K9/0081,https://patents.google.com/patent/CN107419365B/en,patent,22
CN-109306553-A,CN-201710633176-A,CN,A,65205186,20190205,2019,The method for preparing polyacrylonitrile carbon fiber,"The invention discloses the methods for preparing polyacrylonitrile carbon fiber, realize in accordance with the following steps: (1) polyacrylonitrile fibre precursor being carried out Infra Red laser radiations, obtain pre-oxidized fibers；(2) by pre-oxidized fibers in nitrogen atmosphere low-temperature carbonization, obtain low-temperature carbonization fiber；(3) low-temperature carbonization fiber is carbonized in nitrogen atmosphere high temperature, obtains polyacrylonitrile carbon fiber.This method is using Infra Red laser radiations to the processing of polyacrylonitrile fibre precursor pre-oxidation, it can be realized quick heating, shorten the thermostabilization time, and the pre-oxidized fibers of available suitable degree of cyclization, the degree of orientation and volume density, low-temperature carbonization and high temperature cabonization processing, gained carbon fiber intensity with higher and the degree of orientation are carried out to the pre-oxidized fibers.Thus polyacrylonitrile fibre precursor is handled using Infra Red laser radiations and not only significantly improves carbon fiber production efficiency, and then reduce carbon fiber production cost, help to realize the popular of carbon fiber production, and guarantee to obtain high performance carbon fiber.",北京化工大学,UNIV BEIJING CHEM TECH,CAO WEIYU; SHA YANG; YANG WEIMIN; XU LIANGHUA; TAN JING,D01F9/22,https://patents.google.com/patent/CN109306553A/en,patent,22
CN-109355735-A,CN-201811006298-A,CN,A,65350327,20190219,2019,Graphene carbon fiber and preparation method thereof,"The invention discloses graphene carbon fibers and preparation method thereof, method includes: that (1) mixes the dimethylformamide dispersion liquid containing graphene oxide or dimethyl sulfoxide dispersion liquid with polyacrylonitrile powder and bridging agent, isolation air is placed at room temperature for swelling, then stirring dissolves by heating, and prepares polyacrylonitrile-graphene oxide spinning solution；(2) polyacrylonitrile-graphene oxide spinning solution metering is squeezed out into spinneret, at fibre in containing at least one of ethyl alcohol, water, dimethylformamide and dimethyl sulfoxide solution, drawing-off is carried out, washes, oil, dry and winds, obtains polyacrylonitrile-graphene oxide precursor；(3) polyacrylonitrile-graphene oxide precursor is subjected to pre-oxidation and carbonization treatment, obtains graphene carbon fiber.Graphene fiber is made using the polymolecularity graphene oxide solution that this method can be difficult into fiber, graphene content is not less than 75% in the graphene carbon fiber, and thermal conductivity is up to 1520Wm ‑1 K ‑1 。",北京化工大学,UNIV BEIJING CHEM TECH,LI CHANGQING; WANG XIAOLI; XU LIANGHUA; LIU LI; GAO AIJUN; XU DEHUA; CHEN HONGYI; ZHAO ZHENWEN,D01F9/22; D01F1/10,https://patents.google.com/patent/CN109355735A/en,patent,22
CN-109402793-A,CN-201710699347-A,CN,A,65454307,20190301,2019,Reduce the device and method of tar in carbon fiber production process,"The present invention relates to a kind of device and method of tar in reduction carbon fiber production process, and tar is excessive during mainly solving the carbon fiber that prior art and equipment are produced, and low-carbon furnace waste gas outlet is easy the technical issues of blocking.The present invention passes through between precursor uncoiling (1), pre-oxidation (2), low-temperature carbonization (5), high temperature cabonization (6), surface treatment and starching dry (7) and winding (8), increase acid solution dipping (3) and washing, dry (4) process, while fiber tension is regulated and controled by the linear velocity of transmission system middle roller before and after each process.It before by low-temperature carbonization process, is impregnated by acid solution, reduces itrile group structure and other easy small molecular weight impurities in polyacrylonitrile fibre, to make to reduce tar content of the fiber in subsequent processes.The technology can effectively reduce the amount that tar is generated in carbon fiber production process, preferably resolve above-mentioned technical problem, can be applicable in Industry of Carbon Fiber production field.",中国石油化工股份有限公司; 中国石油化工股份有限公司上海石油化工研究院,CHINA PETROLEUM & CHEM CORP; SINOPEC SHANGHAI RES INSTF PETROCHEMICAL TECH,CHANG ZHILONG; ZHANG KUN; WU LIBIN; WU LIANGHUA,D01F9/22; D01F9/328,https://patents.google.com/patent/CN109402793A/en,patent,22
CN-109881280-A,CN-201910120658-A,CN,A,66928231,20190614,2019,"A kind of preparation method of polyacrylonitrile fibre, preparation method and its carbon fiber","The invention discloses the preparation methods of a kind of polyacrylonitrile (PAN) fiber, preparation method and its carbon fiber.The present invention is by heat setting temperature in promotion PAN fiber preparation process at 170 DEG C~240 DEG C, thermal finalization draft ratio is 0%~20%, inhibit fibrous physics to be heat-shrinked simultaneously, and bring it about weak cyclisation oxidation reaction, is cyclized highly oriented polyacrylonitrile fibril with weak oxide to prepare.There is fiber prepared by the present invention opposite cyclization rate to be fully oriented the feature between 0.60~0.88 in 5%~30%, fiber molecule chain.This precursor of subsequent use carries out pre-oxidation carbonization and prepares carbon fiber, shortens preoxidation time, reduces energy consumption, shorten process flow, improve production efficiency, while also improving carbon crystallite orientation and carbon fiber mechanical property in carbon fiber.",北京化工大学,UNIV BEIJING CHEM TECH,WANG YU; XU LIANGHUA; KANG CHEN; LI CHANGQING; GAO AIJUN; TONG YUANJIAN; CAO WEIYU; ZHAO ZHENWEN,,https://patents.google.com/patent/CN109881280A/en,patent,22
CN-110158237-A,CN-201910360534-A,CN,A,67633261,20190823,2019,A kind of preparation method and application of the porous carbon nanofiber film of rapid heavy metal ion adsorption,"The invention discloses a kind of preparation methods of the porous carbon nanofiber film of rapid heavy metal ion adsorption, it is dissolved in organic solvent the following steps are included: (1) mixes two kinds of high molecular polymers of polyacrylonitrile and polymethyl methacrylate, polymer spinning latex A is obtained after being stirred at room temperature；(2) by the polymer spinning latex A electrostatic spinning, carbon fiber precursor is obtained；(3) carbon fiber precursor is subjected to pre-oxidation and carbonization treatment, obtains porous carbon nanofiber film.Compared with the tunica fibrosa of conventional method preparation, there is higher porosity and specific surface area, improve the absorption property of fiber, can rapidly, continuously adsorb.The porous carbon nanofiber film of above-mentioned preparation can be applied to heavy metal ion adsorbed aspect, such as the absorption to chromium, cadmium, copper, mercury, nickel, zinc contents of many kinds of heavy metal ion.",苏州大学,UNIV SUZHOU,WEI KAI; YAO MING; GU JING; ZHU MENGLIN; HE LILI,D06C7/04; D01D1/065; D01D5/0092; D01D5/0076; D04H1/4382; C02F1/283; D01D5/003; B01J20/205; D04H1/728,https://patents.google.com/patent/CN110158237A/en,patent,22
CN-105568430-B,CN-201410541140-A,CN,B,55879033,20180608,2018,The pre- carbonizing plant and preparation method of high compactness polyacrylonitrile-based carbon fibre,"The present invention relates to the pre-oxidation devices and preparation method of a kind of high compactness polyacrylonitrile-based carbon fibre, mainly solve the technical issues of polyacrylonitrile-based carbon fibre compactness is low.The present invention is by using one section of new heat treatment procedure of increase between pre-oxidation and low-temperature carbonization, which is characterized in that includes the following steps：(1) prepared by precursor；(2) preoxidation process；(3) pre- carbonisation；(4) low-temperature carbonization process；(5) high temperature cabonization process；I.e. after preoxidation process terminates, increase by one section of pre- carbonisation before low-temperature carbonization process, pre- carbonisation carries out in a nitrogen atmosphere, temperature range is controlled at 120 DEG C 300 DEG C, using one section of warm area, processing time is 1min 10min or uses two to five sections of warm area gradient increased temperatures, and each warm area residence time is 1min 5min, technical solution of the draw ratio control between 5% 5% preferably solves the above problem, available in the industrial production of polyacrylonitrile-based carbon fibre.",中国石油化工股份有限公司; 中国石油化工股份有限公司上海石油化工研究院,,,,https://patents.google.com/patent/CN105568430B/en,patent,22
CN-105568432-B,CN-201410541508-A,CN,B,55879035,20180717,2018,The device and method for producing low coefficient of dispersion carbon fiber,"The present invention relates to a kind of device and method producing low coefficient of dispersion carbon fiber, mainly solve the technical problem that the carbon fiber mechanical property coefficient of dispersion that prior art and equipment are produced is big, stability is poor.The present invention passes through between precursor uncoiling (1), pre-oxidation (4), low-temperature carbonization (5), high temperature cabonization (6), surface treatment and starching drying (7) and winding (8), increase saturated vapor drawing-off (2) and dry (3) process, while fiber tension is regulated and controled by the linear velocity of transmission system middle roller before and after each process.So that polyacrylonitrile fibril degree of orientation before pre-oxidation is improved to the greatest extent, to make fiber more homogenize in subsequent processes.The technology can effectively reduce the coefficient of dispersion of carbon fiber mechanics parameter, preferably resolve above-mentioned technical problem, can be applicable in Industry of Carbon Fiber production field.",中国石油化工股份有限公司; 中国石油化工股份有限公司上海石油化工研究院,,,,https://patents.google.com/patent/CN105568432B/en,patent,22
CN-107653520-A,CN-201710986329-A,CN,A,61119247,20180202,2018,A kind of preparation method of cost degradation polyacrylonitrile-based carbon fibre,"The present invention relates to a kind of preparation method of cost degradation polyacrylonitrile-based carbon fibre, including：PAN is dissolved in solvent and obtains PAN/ solvent spinning solutions, is placed in closed reactor, is filled with CO 2 Complete displaced air, is filled with CO again after heating 2 Aromatic ring reaction is carried out under super critical condition, then pressure release to normal pressure, obtain aromatic ring PAN/ solvent spinning solutions；Spinning is carried out, stretching, obtains aromatic ring PAN base carbon fiber protofilaments, stage heating carbonization is carried out under nitrogen atmosphere, obtains PAN base carbon fibres.The present invention carries out aromatic ring reaction in inert supercritical fluid to PAN spinning solutions, do not introduce oxygen element, part replaces PAN precursor pre-oxidation processes, shorten the preoxidation time of carbon fiber production, improve production efficiency, energy consumption is reduced, carbon yield is improved, a kind of cost degradation new method is provided for the preparation of high-performance carbon fibre.",东华大学; 上海华渔新材料科技有限公司,UNIV NATIONAL DONG HWA; SHANGHAI HUAYU NEW MATERIAL TECH CO LTD,YU MUHUO; QIAO MENGMENG; KONG HAIJUAN; DING XIAOMA; WU YAO; YU XUDUO; ZHANG LUWEI; TAO LEI,D01F11/06; D01F9/22,https://patents.google.com/patent/CN107653520A/en,patent,22
CN-107881600-A,CN-201710838111-A,CN,A,61780673,20180406,2018,Preparation method and application of nano carbon fiber for lithium ion battery cathode,"The invention relates to the technical field of preparation and application of new energy materials, in particular to a preparation method and application of nano carbon fibers for a lithium ion battery cathode, wherein the preparation method comprises the following steps: nitrogen-rich quinoline oligomers are prepared from quinoline and used as nitrogen-rich soft carbon precursors. Polyacrylonitrile is used as a hard carbon precursor and a spinning aid, and the nano-fiber is prepared by an electrostatic spinning technology. Then raising the temperature to 250-300 ℃ for pre-oxidation in the air atmosphere, and raising the temperature to 600-1200 ℃ for carbonization in the nitrogen atmosphere to obtain the target material carbon nanofiber. The nano carbon fiber provided by the invention has higher nitrogen content and good conductivity, and has excellent rate performance and cycling stability when being used as a lithium ion battery cathode material.",大连理工大学,UNIV DALIAN TECH,QIU JIESHAN; XIAO NAN; LIU CHANG; WANG YUWEI; LI HONGQIANG; JI YONGQIANG; SONG JUNWEI,H01M4/587; D01F9/22; D01F1/10; B82Y30/00; H01M10/0525,https://patents.google.com/patent/CN107881600A/en,patent,22
CN-108373581-A,CN-201810124998-A,CN,A,63017662,20180807,2018,A kind of preparation method of carbon fibre composite auto parts and components,"The invention discloses a kind of preparation methods of carbon fibre composite auto parts and components, include the following steps：S1, carbon fibre fabric is prepared：（1.1）Choose polyacrylonitrile fibre, pitch fibers, viscose or phenolic fibre material；（1.2）By step（1.1）In material experience fibre spinning, thermostabilization（Pre-oxidation）, oxidation, carbonization Four processes after these processes, the precursor of carbon fiber can be obtained therebetween along with chemical changes such as dehydrogenation, cyclisation, pre-oxidation, oxidation and deoxidations；（1.3）Carbon fiber can be impregnated in the epoxy by placing machinery automatically, after starching, epoxy resin is put to pressurize in a vacuum it is cured, you can obtain carbon fibre fabric.Compared with other technologies of preparing, technological process is simple, ripe, greatly improves the use quality of half auto parts and components, saves the energy, improves the performance of auto parts and components.",海宁信蜂材料科技有限公司,HAINING XINFENG MATERIAL TECH CO LTD,ZHU GUANGYUAN,C08J7/18; D01F9/16; B32B37/10; C08K7/06; B29C39/02; D01F9/145; D01F9/22; B32B37/06; B29C39/22,https://patents.google.com/patent/CN108373581A/en,patent,22
CN-108431310-A,CN-201680077572-A,CN,A,59225459,20180821,2018,Process for producing carbon fibers from multi-purpose commercial fibers,A method of producing carbon fibers comprising the step of providing polyacrylonitrile precursor polymer fiber filaments. The polyacrylonitrile precursor filament contains 87-97 mole% acrylonitrile and less than 0.5 mole% promoter functional groups. The filaments are not more than 3 denier per filament. The polyacrylonitrile precursor fiber filaments may be arranged in a tow of at least 150000 denier per inch width. The aligned polyacrylonitrile precursor fiber tow is stabilized by heating and maintaining the tow in at least one oxidation zone containing oxygen while stretching at least 10% at a first temperature T1 to produce a stabilized precursor fiber tow. Carbonizing the stabilized precursor fiber tow by passing the stabilized precursor fiber tow through a carbonization zone. Carbon fibers produced by the method are also disclosed.,Ut-巴特勒有限公司,UT BATTELLE LLC,Jackson Connie D.; NASKAR AMIT K.,D01F9/225; D01F9/225; D01F9/328; D01F9/225,https://patents.google.com/patent/CN108431310A/en,patent,22
EP-3397797-A1,EP-16882761-A,EP,A1,59225459,20181107,2018,Method of producing carbon fibers from multipurpose commercial fibers,"A method of producing carbon fibers includes the step of providing polyacrylonitrile precursor polymer fiber filaments. The polyacrylonitrile precursor filaments include from 87-97 mole % acrylonitrile, and less than 0.5 mole % of accelerant functional groups. The filaments are no more than 3 deniers per filament. The polyacrylonitrile precursor fiber filaments can be arranged into tows of at least 150,000 deniers per inch width. The arranged polyacrylonitrile precursor fiber tows are stabilized by heating the tows in at least one oxidation zone containing oxygen gas and maintained at a first temperature T1 while stretching the tows at least 10% to yield a stabilized precursor fiber tow. The stabilized precursor fiber tows are carbonized by passing the stabilized precursor fiber tows through a carbonization zone. Carbon fibers produced by the process are also disclosed.","UT-Battelle, LLC",UT BATTELLE LLC,"JACKSON, Connie D.; NASKAR, AMIT K.",D01F9/225; D01F9/225; D01F9/328; D01F9/225,https://patents.google.com/patent/EP3397797A1/en,patent,22
CN-105088420-B,CN-201510582099-A,CN,B,54569712,20171128,2017,The preparation method of high heat conduction pitch graphite fibre,"The present invention relates to the preparation method of high heat conduction pitch graphite fibre.High heat conduction pitch graphite fibre is because with excellent properties such as high heat conduction, low-density, having broad application prospects.The present invention is pre-oxidized after Mesophase Pitch Fiberss precursor is placed on guide frame by plumbago support roller into oxidation furnace, and pre-oxidized fibers enter low-temperature carbonization furnace by drawing rollers（Five warm areas）, low-temperature carbonization fiber is obtained, then enter high temperature carbonization furnace through roller and carry out high temperature carbonization（Four warm areas）, obtain carbon fiber again through drawing rollers enter graphitizing furnace carry out graphitization processing obtain graphitized fibre, into sizing groove starching after be dried into drying oven, obtain high heat conduction pitch based graphite chemical fibre dimension.The present invention selects Mesophase Pitch Fiberss precursor, through pre-oxidizing, carbonizing and graphitization prepares continuous high heat conduction graphite fibre long filament, had both maintained higher modulus, intensity, and had had high thermal conductivity again.",陕西天策新材料科技有限公司,,,,https://patents.google.com/patent/CN105088420B/en,patent,22
CN-105603584-B,CN-201610060357-A,CN,B,55983910,20171222,2017,Mesoporous activated carbon fiber of electrode of super capacitor polyacrylonitrile and preparation method thereof,"The invention provides a kind of mesoporous activated carbon fiber of electrode of super capacitor polyacrylonitrile and preparation method thereof.Described preparation method, including：Pore creating material organic compound and/or high polymer are added in solvent, is then stirred 3~24 hours at 50~80 DEG C, obtains the solution containing pore creating material；Polyacrylonitrile pulp is mixed with the solution containing pore creating material, obtains blend spinning stoste；Spinning is carried out using wet spinning technology, obtains mixing precursor；Mixing precursor is impregnated 5~24 hours in reaming agent solution is catalyzed, pre-oxidation in activation furnace is put into after 80~120 DEG C of drying, is activated, carbonization, obtains the mesoporous activated carbon fiber of electrode of super capacitor polyacrylonitrile.The mesoporous activated carbon fiber of polyacrylonitrile produced by the present invention has higher-strength concurrently due to suitable meso-hole structure, is adapted to the electrode for doing ultracapacitor.",东华大学; 江苏鹰游纺机有限公司,,,,https://patents.google.com/patent/CN105603584B/en,patent,22
CN-106521716-A,CN-201610771305-A,CN,A,58055036,20170322,2017,Modification of continuous carbon fibers during precursor formation for composites having enhanced moldability,"Methods of producing continuous carbon fibers for composites having enhanced moldability are provided. Discrete regions are introduced into a continuous precursor fiber comprising an acrylic polymer material, such as polyacrylonitrile (PAN), as the precursor fiber is formed. The precursors may be heterogeneous fibers having a second distinct material interspersed in discrete regions with the acrylic polymer material. Alternatively, the precursors may be heterogeneous fibers where laser is applied to the acrylic polymer material in discrete regions to cause localized molecular disruptions. After the continuous precursor fiber is heated for carbonization and/or graphitization, the precursor forms a continuous carbon fiber having a plurality of discrete weak regions. These relatively weak regions provide noncontiguous break points that reduce stiffness and improve moldability for carbon fiber polymeric composites, while retaining high strength levels. Carbon fiber polymeric composites incorporating continuous carbon fibers having the plurality of discrete noncontiguous weak regions are also provided.",通用汽车环球科技运作有限责任公司,GM GLOBAL TECH OPERATIONS LLC,"KIA, HAMID G.",D01F9/21; D01F9/22; D01F9/225; D01F6/54; D01F6/54; D01F9/22,https://patents.google.com/patent/CN106521716A/en,patent,22
CN-106521718-A,CN-201610743811-A,CN,A,58055039,20170322,2017,Modification of continuous carbon fibers during manufacturing for composites having enhanced moldability,"Methods of producing continuous carbon fibers for composites having enhanced moldability are provided. Discrete regions are introduced into a continuous precursor fiber comprising an acrylic polymer material, such as polyacrylonitrile (PAN) during carbon fiber manufacture. Laser energy may be applied to the precursor fiber while it is in an oven or furnace to create heterogeneous fibers with discrete regions where laser energy is applied. In other aspects, mechanical pressure may be intermittently applied to create the discrete regions. After the continuous precursor fiber is fully heated for carbonization and/or graphitization, the precursor forms a continuous carbon fiber having a plurality of discrete weak regions. These relatively weak regions provide noncontiguous break points that reduce stiffness and improve moldability for carbon fiber polymeric composites, while retaining high strength levels. Carbon fiber polymeric composites incorporating continuous carbon fibers having the plurality of discrete noncontiguous weak regions are also provided.",通用汽车环球科技运作有限责任公司,GM GLOBAL TECH OPERATIONS LLC,KIA HAMID G.,C04B35/83; D01D10/00; C04B35/524; D01F9/22; D01F9/22; D01F9/22; C04B35/83; D01F9/14; D01F9/14; D01D10/00,https://patents.google.com/patent/CN106521718A/en,patent,22
